40:2:11|13|autou|G846
40:2:11|14|kai|G2532
40:2:11|15|pesontes|G4098
40:2:11|16|prosekunhsan|G4352
40:2:11|17|autw|G846
40:2:11|18|kai|G2532
40:2:11|19|anoixantes|G455
40:2:11|20|tous|G3588
40:2:11|21|qhsaurous|G2344
40:2:11|22|autwn|G846
40:2:11|23|proshnegkan|G4374
40:2:11|24|autw|G846
40:2:11|25|dwra|G1435
40:2:11|26|cruson|G5557
40:2:11|27|kai|G2532
40:2:11|28|libanon|G3030
40:2:11|29|kai|G2532
40:2:11|30|smurnan|G4666
40:2:12|1|kai|G2532
40:2:12|2|crhmatisqentes|G5537
40:2:12|3|kat|G2596
40:2:12|4|onar|G3677
40:2:12|5|mh|G3361
40:2:12|6|anakamyai|G344
40:2:12|7|pros|G4314
40:2:12|8|hrwdhn|G2264
40:2:12|9|di|G1223
40:2:12|10|allhs|G243
40:2:12|11|odou|G3598
40:2:12|12|anecwrhsan|G402
40:2:12|13|eis|G1519
40:2:12|14|thn|G3588
40:2:12|15|cwran|G5561
40:2:12|16|autwn|G846
40:2:13|1|anacwrhsantwn|G402
40:2:13|2|de|G1161
40:2:13|3|autwn|G846
40:2:13|4|idou|G3708
40:2:13|5|aggelos|G32
40:2:13|6|kuriou|G2962
40:2:13|7|fainetai|G5316
40:2:13|8|kat|G2596
40:2:13|9|onar|G3677
40:2:13|10|tw|G3588
40:2:13|11|iwshf|G2501
40:2:13|12|legwn|G3004
40:2:13|13|egerqeis|G1453
40:2:13|14|paralabe|G3880
40:2:13|15|to|G3588
40:2:13|16|paidion|G3813
40:2:13|17|kai|G2532
40:2:13|18|thn|G3588
40:2:13|19|mhtera|G3384
40:2:13|20|autou|G846
40:2:13|21|kai|G2532
40:2:13|22|feuge|G5343
40:2:13|23|eis|G1519
40:2:13|24|aigupton|G125
40:2:13|25|kai|G2532
40:2:13|26|isqi|G1510
40:2:13|27|ekei|G1563
40:2:13|28|ews|G2193
40:2:13|29|an|G302
40:2:13|30|eipw|G3004
40:2:13|31|soi|G4771
40:2:13|32|mellei|G3195
40:2:13|33|gar|G1063
40:2:13|34|hrwdhs|G2264
40:2:13|35|zhtein|G2212
40:2:13|36|to|G3588
40:2:13|37|paidion|G3813
40:2:13|38|tou|G3588
40:2:13|39|apolesai|G622
40:2:13|40|auto|G846
40:2:14|1|o|G3588
40:2:14|2|de|G1161
40:2:14|3|egerqeis|G1453
40:2:14|4|parelaben|G3880
40:2:14|5|to|G3588
40:2:14|6|paidion|G3813
40:2:14|7|kai|G2532
40:2:14|8|thn|G3588
40:2:14|9|mhtera|G3384
40:2:14|10|autou|G846
40:2:14|11|nuktos|G3571
40:2:14|12|kai|G2532
40:2:14|13|anecwrhsen|G402
40:2:14|14|eis|G1519
40:2:14|15|aigupton|G125
40:2:15|1|kai|G2532
40:2:15|2|hn|G1510
40:2:15|3|ekei|G1563
40:2:15|4|ews|G2193
40:2:15|5|ths|G3588
40:2:15|6|teleuths|G5054
40:2:15|7|hrwdou|G2264
40:2:15|8|ina|G2443
40:2:15|9|plhrwqh|G4137
40:2:15|10|to|G3588
40:2:15|11|rhqen|G2046
40:2:15|12|upo|G5259
40:2:15|13|kuriou|G2962
